cod_circoscrizione,circoscrizione,sz_perv,sz_tot,agg
222,AUSTRIA,45,45,20190527083758
223,BELGIO,245,245,20190527184707
224,BULGARIA,5,5,20190527164500
308,CIPRO,5,5,20190527163300
259,CROAZIA,25,25,20190527085256
227,DANIMARCA,15,15,20190527090456
256,ESTONIA,5,5,20190527082500
228,FINLANDIA,5,5,20190527084547
229,FRANCIA,475,475,20190527173202
230,GERMANIA,760,760,20190527162025
232,GRECIA,30,30,20190527154141
233,IRLANDA,20,20,20190527144943
255,LETTONIA,5,5,20190527091906
254,LITUANIA,5,5,20190527065810
238,LUSSEMBURGO,25,25,20190527090956
239,MALTA,10,10,20190527084613
242,PAESI BASSI,45,45,20190527135435
243,POLONIA,10,10,20190527092103
244,PORTOGALLO,25,25,20190527084923
231,REGNO UNITO,365,365,20190527125150
225,REPUBBLICA CECA,10,10,20190527161628
245,ROMANIA,10,10,20190527172015
452,SLOVACCHIA,5,5,20190527091234
450,SLOVENIA,10,10,20190527173822
248,SPAGNA,175,175,20190527170210
249,SVEZIA,15,15,20190527154135
251,UNGHERIA,5,5,20190527091640
